id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?
364,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,13
365,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,60,32
366,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,120,32
367,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,41
368,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,41
369,Panera Bread,776,0,256.071826001963,2,4.0,0,15,29
370,Panera Bread,776,0,256.071826001963,2,4.0,0,45,29
371,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,66
372,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,66
373,Luciano's,368,0,81.0013247112889,2,4.1,0,15,17
374,Luciano's,368,0,81.0013247112889,2,4.1,0,15,17
375,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,39
376,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,39
377,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,39
378,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,39
379,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,36
380,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,36
381,Burger King,1122,0,284.9861290588254,1,3.6,0,10,39
382,Burger King,1122,0,284.9861290588254,1,3.6,0,45,39
